Etiquetas de fila;Cuenta de CODIGO
BOGOTA NORTE;606
BOGOTA, D.C.;463
BOJACA;1
BRICEÑO;2
CAJICA;5
CHIA;19
CHOCONTA;1
COGUA;1
COTA;9
EL ROSAL;1
FACATATIVA;14
FUNZA;12
GACHANCIPA;2
GACHETA;1
GUACHETA;1
GUASCA;1
LA CALERA;4
LA VEGA;1
LETICIA;5
MADRID;10
MOCOA;2
MOSQUERA;14
NEMOCON;1
ORITO;1
PACHO;1
PUERTO LEGUIZAMO;2
SASAIMA;1
SESQUILE;1
SIBERIA;1
SIBUNDOY;1
SOPO;2
SUBACHOQUE;1
SUESCA;1
TABIO;1
TOCANCIPA;4
VILLA DE SAN DIEGO DE UBATE;5
VILLETA;2
ZIPAQUIRA;12
BOGOTA SUR;561
AGUA DE DIOS;1
ANAPOIMA;3
ANOLAIMA;1
ARBELAEZ;1
BOGOTA, D.C.;444
CAQUEZA;2
CARMEN DE APICALA;1
CHAPARRAL;2
CHICORAL;2
CHIPAQUE;1
CHOACHI;2
EL COLEGIO;1
ESPINAL;8
FOMEQUE;1
FUSAGASUGA;9
GIRARDOT;14
GRANADA;2
GUAMO;1
LA MESA;2
MELGAR;9
NILO;3
PRADO;1
PURIFICACION;1
RICAURTE;2
SIBATE;3
SILVANIA;1
SOACHA;33
TENA;1
TOCAIMA;3
TOLEMAIDA;2
UBAQUE;1
UNE;1
VILLAVICENCIO;1
VIOTA;1
NOROCCIDENTE;517
ABEJORRAL;1
AMALFI;1
ANDES;1
ANORI;1
ANSERMA;1
ANSERMANUEVO;1
APARTADO;12
ARMENIA;22
BARBOSA;1
BELLO;23
CALARCA;3
CALDAS;3
CAREPA;7
CARTAGO;12
CAUCASIA;3
CERETE;2
CHIGORODO;6
CHINCHINA;2
CIENAGA DE ORO;1
COCORNA;1
COPACABANA;3
DISTRITO ESPECIAL DE TURBO;3
DONMATIAS;1
DOSQUEBRADAS;9
EL CARMEN DE VIBORAL;2
EL SANTUARIO;1
ENVIGADO;13
FRONTINO;1
GIRARDOTA;4
GUARNE;2
GUATAPE;1
ISTMINA;5
ITAGÜI;20
ITUANGO;1
LA CEJA;4
LA ESTRELLA;3
LA PINTADA;1
LA TEBAIDA;1
LA UNION;1
LA VIRGINIA;2
MANIZALES;30
MARINILLA;2
MARSELLA;1
MEDELLIN;153
MONTELIBANO;4
MONTENEGRO;1
MONTERIA;30
PEREIRA;43
PLANETA RICA;1
PUEBLORRICO;1
PUERTO BERRIO;2
QUIMBAYA;1
REMEDIOS;1
RIONEGRO;17
RIOSUCIO;1
SABANETA;10
SAN ANTERO;1
SAN ANTONIO DE PRADO;2
SAN BERNARDO DEL VIENTO;1
SAN FRANCISCO DE QUIBDO;16
SAN PEDRO DE LOS MILAGROS;1
SAN PELAYO;1
SANTA CRUZ DE LORICA;3
SANTA FE DE ANTIOQUIA;1
SANTA ROSA DE CABAL;3
SANTA ROSA DE OSOS;1
SEGOVIA;1
TARSO;1
TIERRALTA;1
VEGACHI;1
VILLAMARIA;1
YARUMAL;1
YOLOMBO;1
NORORIENTE;556
ACACIAS;8
AGUACHICA;5
AGUAZUL;2
ARAUCA;5
BARAYA;1
BARBOSA;2
BARICHARA;1
BARRANCA DE UPIA;1
BARRANCABERMEJA;28
BUCARAMANGA;67
CAMPOALEGRE;1
CANTAGALLO;1
CASTILLA LA NUEVA;1
CHIQUINQUIRA;3
CUCUTA;40
CUMARAL;3
DUITAMA;10
EL DONCELLO;1
EL ZULIA;1
FLORENCIA;26
FLORIDABLANCA;22
FRESNO;1
GARAGOA;1
GARZON;5
GIGANTE;2
GIRON;9
GRANADA;5
GUADUAS;2
GUAMAL;2
GUATEQUE;1
GUAYABAL;1
GUAYABETAL;1
HONDA;3
IBAGUE;52
LA DORADA;4
LA PLATA;3
LEBRIJA;2
LERIDA;2
LIBANO;2
LOS PATIOS;2
LOS SANTOS;1
MALAGA;1
MARIQUITA;5
MONIQUIRA;1
MONTERREY;5
NATAGAIMA;1
NEIVA;35
NOBSA;1
OCAÑA;3
PAIPA;3
PALERMO;1
PALOCABILDO;1
PAMPLONA;5
PARATEBUENO;1
PIEDECUESTA;13
PITALITO;9
PUENTE NACIONAL;1
PUENTE QUETAME;1
PUERTO BOYACA;3
PUERTO CARREÑO;1
PUERTO GAITAN;2
PUERTO LOPEZ;2
PUERTO RICO;1
PUERTO WILCHES;2
RESTREPO;2
RIONEGRO;1
SABANA DE TORRES;3
SAN AGUSTIN;2
SAN ALBERTO;2
SAN GIL;6
SAN JOSE DEL GUAVIARE;5
SAN MARTIN;4
SAN VICENTE DEL CAGUAN;2
SANTA MARIA;1
SANTA ROSA DE VITERBO;2
SANTANA;1
SOATA;1
SOCORRO;3
SOGAMOSO;7
SOLANO;1
TESALIA;1
TIBASOSA;1
TIMANA;1
TUNJA;14
VELEZ;2
VILLA DE LEYVA;3
VILLA DEL ROSARIO;2
VILLANUEVA;2
VILLAPINZON;2
VILLAVICENCIO;44
YONDO;1
YOPAL;12
NORTE;487
AGUSTIN CODAZZI;3
ARACATACA;1
ARJONA;2
BARANOA;3
BARRANCAS;1
BARRANQUILLA;147
BECERRIL;1
BOSCONIA;3
CAMPO DE LA CRUZ;1
CARTAGENA DE INDIAS;85
CHIRIGUANA;1
CIENAGA;7
COROZAL;3
COVEÑAS;2
CURUMANI;1
EL BANCO;2
EL CARMEN DE BOLIVAR;2
EL PASO;1
FONSECA;3
FUNDACION;4
GALAPA;2
LA JAGUA DE IBIRICO;4
LA LOMA;1
MAGANGUE;3
MAHATES;1
MAICAO;4
MALAMBO;7
MINGUEO;2
MOMPOS;4
PALMAR DE VARELA;1
PIVIJAY;3
PLATO;1
PROVIDENCIA;2
PUEBLO BELLO;1
PUERTO COLOMBIA;7
RIOHACHA;19
SABANAGRANDE;2
SABANALARGA;3
SAMPUES;1
SAN ANDRES;10
SAN JUAN DEL CESAR;2
SAN JUAN NEPOMUCENO;1
SAN ONOFRE;1
SANTA MARTA;55
SANTIAGO DE TOLU;1
SANTO TOMAS;2
SINCELEJO;18
SOLEDAD;22
SUAN;1
TURBACO;2
VALLEDUPAR;31
SUROCCIDENTE;578
ANDALUCIA;2
BUENAVENTURA;14
BUGALAGRANDE;1
CAICEDONIA;1
CALI;301
CANDELARIA;6
DAGUA;1
DARIEN;1
EL CARMELO;1
EL CERRITO;7
EL ORTIGAL;1
FLORIDA;4
GINEBRA;2
GUACARI;3
GUADALAJARA DE BUGA;18
IPIALES;16
JAMUNDI;11
LA UNION;1
LA VICTORIA;1
MIRANDA;1
PALMIRA;37
PASTO;30
PIENDAMO;1
POPAYAN;33
PRADERA;2
