dep;departamento;ciudad;regional_id
12;Cundinamarca;Bogotá;8
12;Cundinamarca;Bojacá;8
1;Antioquia;Briceño;8
12;Cundinamarca;Cajicá;8
12;Cundinamarca;Chía;8
12;Cundinamarca;Chocontá;8
12;Cundinamarca;Cogua;8
12;Cundinamarca;Cota;8
12;Cundinamarca;El Rosal;8
12;Cundinamarca;Facatativá;8
12;Cundinamarca;Funza;8
1;Antioquia;Gachancipá;8
12;Cundinamarca;Gachetá;8
12;Cundinamarca;Guachetá;8
12;Cundinamarca;Guasca;8
12;Cundinamarca;La Calera;8
12;Cundinamarca;La Vega;8
0;Amazonas;Leticia;8
12;Cundinamarca;Madrid;8
22;Putumayo;Mocoa;8
12;Cundinamarca;Mosquera;8
12;Cundinamarca;Nemocón;8
22;Putumayo;Orito;8
22;Putumayo;Puerto Leguízamo;8
12;Cundinamarca;Sasaima;8
12;Cundinamarca;Sesquilé;8
12;Cundinamarca;Siberia;8
22;Putumayo;Sibundoy;8
12;Cundinamarca;Sopó;8
12;Cundinamarca;LSubachoque;8
12;Cundinamarca;Suesca;8
12;Cundinamarca;Tabio;8
12;Cundinamarca;Tocancipá;8
12;Cundinamarca;Ubaté;8
12;Cundinamarca;Villeta;8
12;Cundinamarca;Zipaquirá;8
12;Cundinamarca;Agua de Dios;5
12;Cundinamarca;Anapoima;5
12;Cundinamarca;Anolaima;5
12;Cundinamarca;Arbeláez;5
12;Cundinamarca;Cáqueza;5
28;Tolima;Carmen de Apicalá;5
28;Tolima;Chaparral;5
28;Tolima;Chicoral;5
12;Cundinamarca;Chipaque;5
12;Cundinamarca;Choachí;5
12;Cundinamarca;El Colegio;5
25;Tolima;El Espinal;5
12;Cundinamarca;Fómeque;5
12;Cundinamarca;Fusagasugá;5
12;Cundinamarca;Girardot;5
12;Cundinamarca;Granada;5
28;Tolima;Guamo;5
12;Cundinamarca;La Mesa;5
28;Tolima;Melgar;5
12;Cundinamarca;Nilo;5
28;Tolima;Prado;5
28;Tolima;Purificación;5
12;Cundinamarca;Ricaurte;5
12;Cundinamarca;Sibaté;5
12;Cundinamarca;Silvania;5
12;Cundinamarca;Tena;5
12;Cundinamarca;Tocaima;5
12;Cundinamarca;Tolemaida;5
12;Cundinamarca;Ubaque;5
12;Cundinamarca;Une;5
19;Cundinamarca;Villavicencio;5
12;Cundinamarca;Viotá;5
1;Antioquia;Abejorral;7
1;Antioquia;Amalfi;7
1;Antioquia;Andes;7
1;Antioquia;Anorí;7
6;Caldas;Anserma;7
29;Valle del Cauca;Ansermanuevo;7
1;Antioquia;Apartadó;7
1;Antioquia;Armenia;7
1;Antioquia;Barbosa;7
1;Antioquia;Bello;7
23;Quindío;Calarcá;7
1;Antioquia;Caldas;7
1;Antioquia;Carepa;7
29;Valle del Cauca;Cartago;7
1;Antioquia;Caucasia;7
13;Córdoba;Cereté;7
1;Antioquia;Chigorodó;7
6;Caldas;Chinchiná;7
13;Córdoba;Ciénaga de Oro;7
1;Antioquia;Cocorná;7
1;Antioquia;Copacabana;7
1;Antioquia;Turbo;7
1;Antioquia;Donmatías;7
24;Risaralda;Dosquebradas;7
1;Antioquia;El Carmen de Viboral;7
1;Antioquia;El Santuario;7
1;Antioquia;Envigado;7
1;Antioquia;Frontino;7
1;Antioquia;Girardota;7
1;Antioquia;Guarne;7
1;Antioquia;Guatapé;7
11;Chocó;Istmina;7
1;Antioquia;Itag\u00fcí;7
1;Antioquia;Ituango;7
1;Antioquia;La Ceja;7
1;Antioquia;La Estrella;7
1;Antioquia;La Pintada;7
27;Sucreío;La Tebaida;7
27;Sucre;La Unión;7
24;Risaralda;La Virginia;7
6;Caldas;Manizales;7
1;Antioquia;Marinilla;7
24;Risaralda;Marsella;7
1;Antioquia;Medellín;7
13;Córdoba;Montelíbano;7
23;Quindío;Montenegro;7
13;Córdoba;Montería;7
24;Risaralda;Pereira;7
13;Córdoba;Planeta Rica;7
24;Risaralda;Pueblo Rico;7
1;Antioquia;Puerto Berrío;7
23;Quindío;Quimbaya;7
1;Antioquia;Remedios;7
