tipo;codigo;tipologia;entidad_bancaria;terminal;direccion;ciudad_id;regional_id;compartido_con;cumpleanos;administrado;numero_site;marca;tipo_site;aseo;ayc;mantenimiento
ATM;100;TIPO 4;Banco de Bogota;SUPERMERCADO MERCAMIO CALI I;KR 39 # 13A - 62;287;4;N/A;Septiembre;TDV DEL SUR;SITE-0046;DIEBOLD;CABINA;D;N/A;X
ATM;101;TIPO 1;Banco de Bogota;OFICINA BOULEVAR DEL RIO I;KR 1 # 8-42;287;4;N/A;Noviembre;ATLAS;SITE-2664;DIEBOLD;SIN SITE;F.S.;D;X
ATM;105;TIPO 4;Banco de Bogota;MUNICIPIO EL PRADO I;KR 6 # 10 - 11;57;5;N/A;Julio;TDV DEL SUR;SITE-0050;DIEBOLD;CUBICULO INDEPENDIENTE;D;N/A;X
ATM;106;TIPO 3 B;Banco de Bogota;Z.A. PARQUE EL VIRREY I;KR 15 # 88-64 LOCAL 101 TRR ZIMMA;1;8;0106-9444;Agosto;ATLAS;SITE-2665;DIEBOLD;CUBICULO INDEPENDIENTE;F.S.;N/A;X
ATM;107;TIPO 4 B;Banco de Bogota;CLINICA META I;CL 33 # 36-50 LOCAL 4;67;9;2681-0107;Agosto;PROSEGUR;SITE-1368;DIEBOLD;SIN SITE;D;N/A;X
ATM;108;TIPO 3 B;Banco de Bogota;OFICINA CENTRO COMERCIAL ARKADIA I;Cra 70 # 1-141 local 0370;112;7;108-9591;Marzo;ATLAS;SITE-3107;DIEBOLD;SIN SITE;F.S.;N/A;X
ATM;109;TIPO 4;Banco de Bogota;PARQUE CAJICA l;KR 4 # 2-68;4;8;N/A;Diciembre;ATLAS;SITE-0051;DIEBOLD;CUBICULO INDEPENDIENTE;D;N/A;X
ATM;110;TIPO 4;Banco de Bogota;EXITO SUBA I;CL 148 # 104-20;1;8;N/A;Abril;PROSEGUR;SITE-3207;DIEBOLD;CABINA;D;N/A;X
ATM;111;TIPO 4;Banco de Bogota;JUSTO Y BUENO ALQUERIA TEJAR I;CALLE 37 SUR # 52 A - 74;1;5;N/A;Noviembre;ATLAS;SITE-2460;DIEBOLD;CABINA;D;N/A;X
ATM;112;TIPO 4;Banco de Bogota;OLIMPICA EL PANDO I;KR 18 # 30-36;275;6;N/A;Agosto;PROSEGUR;SITE-0052;DIEBOLD;CABINA;D;N/A;X
ATM;113;TIPO 4 B;Banco de Bogota;OFICINA LA ISLA II;KR 17 C # 55-58;150;9;524-113;Enero;ATLAS;SITE-0357;DIEBOLD;CUBICULO INDEPENDIENTE;D;N/A;X
ATM;114;TIPO 8;Banco de Bogota;UNIVERSIDAD TECNOLOGICA DEL CHOCO I;CIUDADELA UNIVERSITARIA, BARRIO NICOLAS MEDRANO;128;7;N/A;Noviembre;TDV DEL SUR;SITE-0053;DIEBOLD;CUBICULO INDEPENDIENTE;L-V;N/A;X
ATM;115;TIPO 4;Banco de Bogota;BARRIO SAN CRISTOBAL PIEDECUESTA I;KR 15 # 4 - 33;195;9;N/A;Junio;ATLAS;SITE-0054;DIEBOLD;CUBICULO INDEPENDIENTE;D;N/A;X
ATM;116;TIPO 4 B;Banco de Bogota;Z.A. C.C. FLORIDA PARQUE COMERCIAL I;CL 71 # 65-74 LOCAL 99363;112;7;0116-9437;Mayo;ATLAS;SITE-2675;DIEBOLD;CUBICULO INDEPENDIENTE;D;N/A;X
ATM;118;TIPO 3;Banco de Bogota;GRUPO FAMILIA CAJICA I;KM 7.5 VIA CAJICA ZIPAQUIRA;36;8;N/A;Julio;PROSEGUR;SITE-0055;DIEBOLD;CABINA;F.S.;N/A;X
ATM;120;TIPO 3;Banco de Bogota;OFICINA MONTERIA NORTE I;CL 64 A # 6-07;115;7;N/A;Septiembre;OFICINA;SITE-2678;DIEBOLD;CUBICULO INDEPENDIENTE;F.S.;N/A;X
ATM;121;TIPO 4;Banco de Bogota;EDS BIOMAX PRIMAVERA I;KR 69 R # 75-65;1;8;N/A;Junio;ATLAS;SITE-0056;DIEBOLD;CUBICULO INDEPENDIENTE;D;N/A;X
ATM;122;TIPO 4;Banco de Bogota;CLUB CAMPESTRE I;KM 1,5 VIA LAS MERCEDES CLUB CAMPESTRE ANAPOIMA;38;5;N/A;Mayo;TDV DEL SUR;SITE-0001;DIEBOLD;CABINA;D;N/A;X
ATM;124;TIPO 4;Banco de Bogota;EDS BIOMAX LOS LIBERTADORES I;AV LOS LIBERTADORES # 32 - 67;190;9;N/A;Julio;PROSEGUR;SITE-0058;DIEBOLD;CUBICULO INDEPENDIENTE;D;N/A;X
ATM;125;TIPO 4 B;Banco de Bogota;OFICINA CALLE 98 II;KR 15 # 97-76;1;8;664-125;Noviembre;BRINKS;SITE-0447;DIEBOLD;CUBICULO INDEPENDIENTE;D;N/A;X
ATM;126;TIPO 4;Banco de Bogota;MERCAMOS LA TEBAIDA I;KR 9 # 6 - 21;106;7;N/A;Noviembre;ATLAS;SITE-2474;DIEBOLD;CABINA;D;N/A;X
ATM;127;TIPO 8;Banco de Bogota;UNIVERSIDAD SANTO TOMAS I;KR 9 # 51-11;1;8;N/A;Diciembre;PROSEGUR;SITE-0002;DIEBOLD;SIN SITE;L-V;N/A;X
